Diff_Accel_X,Diff_Accel_Y,Diff_Accel_Z,Magnitude_Accel,Magnitude_Gyro,Diff_Mag_Gyro,Diff_Mag_Accel,Is_High_Accel,Is_High_Accel_2,Is_High_Accel_3
5e-05,0.0,5e-05,0.985884294,0.100498756,0.0,0.011818209,0,1,0
0.0,0.0,0.00125,0.741242811,0.090553851,0.009944905,0.244641483,1,0,1
0.00015,0.0005,0.0041,1.552220047,0.274772633,0.184218782,0.810977236,1,1,1
0.004,0.0034,0.00535,0.745501411,1.544635879,1.269863246,0.806718637,1,0,1
0.00305,0.0051,0.00075,1.036392389,0.327566787,1.217069092,0.290890978,1,1,1
0.004,0.00195,0.0002,0.838021433,0.278208555,0.049358232,0.198370956,1,0,1
0.00055,0.0021,0.002,1.21607008,0.270739727,0.007468827,0.378048647,1,1,1
0.0011,0.0001,0.0005,1.065385405,0.064031242,0.206708485,0.150684675,1,1,1
0.00035,0.0009,0.00085,0.897728731,0.118743421,0.054712178,0.167656674,1,0,1
0.0005,0.00165,0.00055,1.005304253,0.118743421,0.0,0.107575522,1,1,1
0.0001,0.00345,0.0002,1.0351419,0.114455231,0.004288189,0.029837647,1,1,1
0.0006,0.00025,0.0005,1.104503657,0.120415946,0.005960714,0.069361756,1,1,1
0.0002,0.0026,0.00065,0.977555381,0.085440037,0.034975908,0.126948275,1,1,1
0.0001,0.00105,5e-05,0.985226006,0.147648231,0.062208193,0.007670625,1,1,0
0.0005,0.00335,0.0002,1.004212142,0.080622577,0.067025653,0.018986136,1,1,0
0.0006,0.00195,0.0001,0.970900612,0.124096736,0.043474159,0.033311529,1,1,1
5e-05,5e-05,0.00015,0.944393887,0.11,0.014096736,0.026506725,0,0,1
0.00015,0.0,0.0003,1.009518953,0.12328828,0.01328828,0.065125066,1,1,1
5e-05,0.001,0.00015,0.974790021,0.136014705,0.012726425,0.034728932,1,1,1
0.0001,0.00085,0.0003,0.918274115,0.076811457,0.059203248,0.056515906,1,0,1
0.0001,0.0005,0.0003,0.968110326,0.073484692,0.003326765,0.049836212,1,1,1
0.0001,0.00045,0.0001,0.980282928,0.100995049,0.027510357,0.012172601,1,1,0
